timestamp,position_x,position_y,angle,speed,acceleration,steering_angle,distance_from_object (cm)
12734.274565771,0,0,0,0,0,0,-1
12734.286727009,7.446610594543391e-20,0.0012161237998952858,1.5707963267948966,0.1,8.222847049668012,0.0,0
12734.298124966,1.4425846373874117e-19,0.002355919500041637,1.5707963267948966,0.1,0.0,0.0,0
12734.309540528,2.141586210542525e-19,0.0034974756999872634,1.5707963267948966,0.1,0.0,0.0,0
12734.322924264,2.961103683245184e-19,0.004835849300070551,1.5707963267948966,0.1,0.0,0.0,0
12734.341423204,4.093837066090893e-19,0.006685743299931347,1.5707963267948966,0.1,0.0,0.0,0
12734.35988553,5.224328488193961e-19,0.00853197590004129,1.5707963267948966,0.1,0.0,0.0,0
12734.378434417,6.360120242764034e-19,0.010386864599968251,1.5707963267948966,0.1,0.0,0.0,0
12734.39697643,7.495491086280995e-19,0.012241065899979734,1.5707963267948966,0.1,0.0,0.0,0
12734.415740318,8.644447855203009e-19,0.014117454699953673,1.5707963267948966,0.1,0.0,0.0,0
12734.434358737,9.784497216918394e-19,0.01597929660001683,1.5707963267948966,0.1,0.0,0.0,0
12734.452859083,1.0917316692470357e-18,0.017829331199936866,1.5707963267948966,0.1,0.0,0.0,0
12734.471281148,1.2045342839314681e-18,0.0196715377000146,1.5707963267948966,0.1,0.0,0.0,0
12734.489723005,1.3174580896512433e-18,0.021515723399897983,1.5707963267948966,0.1,0.0,0.0,0
12734.508324496,1.431359371722352e-18,0.02337587250003708,1.5707963267948966,0.1,0.0,0.0,0
12734.526878332,1.5449688510697179e-18,0.02523125610005082,1.5707963267948966,0.1,0.0,0.0,0
12734.545464564,1.658776698701748e-18,0.02708987930000149,1.5707963267948966,0.1,0.0,0.0,0
12734.564011108,1.772341527420077e-18,0.028944533699905156,1.5707963267948966,0.1,0.0,0.0,0
12734.582601714,1.886176158089523e-18,0.030803594300050467,1.5707963267948966,0.1,0.0,0.0,0
12734.600919925,1.9983428504227154e-18,0.03263541540000006,1.5707963267948966,0.1,0.0,0.0,0
12734.61940699,2.111543475306816e-18,0.034484121899913595,1.5707963267948966,0.1,0.0,0.0,0
12734.638012544,2.225469636067939e-18,0.03634467729989411,1.5707963267948966,0.1,0.0,0.0,0
12734.656440651,2.3383092473363224e-18,0.0381874880000396,1.5707963267948966,0.1,0.0,0.0,0
12734.675143862,2.45283338475401e-18,0.040057809099926095,1.5707963267948966,0.1,0.0,0.0,0
12734.693803166,2.567088669342443e-18,0.04192373949990725,1.5707963267948966,0.1,0.0,0.0,0
12734.712401533,2.680970822421222e-18,0.04378357619989402,1.5707963267948966,0.1,0.0,0.0,0
12734.731038129,2.7950870606234603e-18,0.04564723580006103,1.5707963267948966,0.1,0.0,0.0,0
12734.749566236,2.9085389952759486e-18,0.0475000464999539,1.5707963267948966,0.1,0.0,0.0,0
12734.768018144,3.0215243456241194e-18,0.04934523729989451,1.5707963267948966,0.1,0.0,0.0,0
12734.786485001,3.134601232201059e-18,0.05119192299989664,1.5707963267948966,0.1,0.0,0.0,0
12734.805121909,3.2487193808432382e-18,0.053055613799915594,1.5707963267948966,0.1,0.0,0.0,0
12734.82361512,3.361957639132029e-18,0.054904934899968796,1.5707963267948966,0.1,0.0,0.0,0
12734.842134164,3.475354078925298e-18,0.056756839300032884,1.5707963267948966,0.1,0.0,0.0,0
12734.860673729,3.588876173591623e-18,0.05861079579990474,1.5707963267948966,0.1,0.0,0.0,0
12734.879058763,3.701452038792881e-18,0.060449299199899546,1.5707963267948966,0.1,0.0,0.0,0
