position,vitesse,temps
0.3900000000000001,70,132554427
0.10999999999999988,70,473361354
0.16999999999999993,70,813689010
0.6499999999999999,70,1140010364
0.2799999999999998,70,1477203072
0.33999999999999986,70,1812796302
0.5699999999999998,70,2140379114
0.44999999999999973,70,2471277655
0.5,70,2800505259
0.56,70,3129498228
0.6200000000000001,70,3456775832
0.6699999999999999,70,3781244738
0.7199999999999998,70,4104185728
0.7799999999999998,70,4426897030
0.8300000000000001,70,4747965363
0.8799999999999999,70,5067554790
0.94,70,5386712342
0.9899999999999998,70,5701785154
1.05,70,6015244789
1.0999999999999999,70,6327575102
1.15,70,6638049893
1.2,70,6946984685
1.25,70,7256488018
1.31,70,7564768070
1.3599999999999999,70,7883344528
1.42,70,8187887393
1.46,70,8499076299
1.51,70,8798985101
1.57,70,9098658434
1.6199999999999999,70,9396938694
1.67,70,9694110413
1.72,70,9992036663
1.77,70,10287239892
1.81,70,10580824579
1.8699999999999999,70,10872690986
1.92,70,11160911246
1.96,70,11447651975
2.01,70,11747588121
2.05,70,12050818121
2.11,70,12335568537
2.16,70,12618831089
2.21,70,12898792651
2.26,70,13176924891
2.31,70,13456654630
2.35,70,13734469943
2.4,70,14010879370
2.45,70,14286085411
2.49,70,14560034526
2.54,70,14832447547
