position,vitesse,temps
0.06000000000000005,60,142038645
0.10999999999999988,60,482838853
0.16000000000000014,60,822304166
0.43000000000000016,60,1154913176
0.25,60,1491654374
0.48999999999999977,60,1821367134
0.54,60,2151150415
0.5699999999999998,60,2480418644
0.43000000000000016,60,2812749165
0.48,60,3143750623
0.52,60,3475090727
0.5699999999999998,60,3806465415
0.6200000000000001,60,4133383019
0.6600000000000001,60,4459040987
0.71,60,4785120206
0.75,60,5109737341
0.7999999999999998,60,5434547393
0.8399999999999999,60,5754902654
0.8900000000000001,60,6073906612
0.9300000000000002,60,6393323330
0.98,60,6711518747
1.02,60,7028355882
1.07,60,7343769476
1.1099999999999999,60,7656897653
1.15,60,7968597080
1.2,60,8278953173
1.24,60,8589104580
1.28,60,8896929111
1.33,60,9203595621
1.3699999999999999,60,9508902131
1.41,60,9813033225
1.46,60,10115953069
1.5,60,10417599891
1.54,60,10718138016
1.58,60,11017360308
1.63,60,11315286922
1.66,60,11612034214
1.71,60,11908443485
1.75,60,12205596193
1.79,60,12501368172
1.83,60,12795798693
1.8699999999999999,60,13089133432
1.91,60,13380694213
1.95,60,13670652234
1.99,60,13959180567
2.04,60,14247739161
2.07,60,14535223744
2.11,60,14821667494
2.15,60,15106872285
2.19,60,15389585879
2.23,60,15672600254
2.27,60,15954220671
2.31,60,16234834160
2.35,60,16513770566
2.39,60,16792410254
2.4299999999999997,60,17069607597
2.46,60,17345369628
2.5,60,17620367441
