position,vitesse,temps
0.06000000000000005,30,142130677
0.31999999999999984,30,476697396
0.10000000000000009,30,819074791
0.3500000000000001,30,1154243645
0.1299999999999999,30,1495798593
0.3900000000000001,30,1828547916
0.3900000000000001,30,2161308697
0.18999999999999995,30,2501413280
0.19999999999999973,30,2840880155
0.43000000000000016,30,3172239686
0.23999999999999977,30,3509423280
0.25,30,3847665467
0.27,30,4184036457
0.29000000000000004,30,4519652186
0.5,30,4849155206
0.33000000000000007,30,5184934894
0.33999999999999986,30,5519002342
0.3599999999999999,30,5868549112
0.3799999999999999,30,6201788748
0.3900000000000001,30,6534470779
0.41000000000000014,30,6866378695
0.43000000000000016,30,7199190883
0.44999999999999973,30,7532553070
0.6099999999999999,30,7858636351
0.48,30,8188493538
0.5,30,8519289736
0.52,30,8850553382
0.5299999999999998,30,9178918642
0.5499999999999998,30,9506809944
0.5699999999999998,30,9835650048
0.5899999999999999,30,10163916506
0.6000000000000001,30,10492740152
0.6200000000000001,30,10818625204
0.6400000000000001,30,11144016298
0.6499999999999999,30,11470305568
0.6699999999999999,30,11796117391
0.69,30,12121392860
0.6999999999999997,30,12445277183
0.7199999999999998,30,12769187912
0.7399999999999998,30,13094290672
0.75,30,13418909891
0.77,30,13743037234
0.79,30,14068121192
0.7999999999999998,30,14389673953
0.8199999999999998,30,14710653224
0.8399999999999999,30,15032747234
0.8500000000000001,30,15363959317
0.8700000000000001,30,15685242598
0.8900000000000001,30,16012162181
0.9100000000000001,30,16329733796
0.9300000000000002,30,16646725775
0.94,30,16964662181
0.96,30,17282173170
0.9699999999999998,30,17599196504
0.9899999999999998,30,17915724316
1.01,30,18232683639
1.02,30,18549281035
1.04,30,18862976868
1.06,30,19176183170
1.07,30,19490274211
1.0899999999999999,30,19803843013
1.1099999999999999,30,20116946711
1.1199999999999999,30,20429746711
1.14,30,20742473950
1.16,30,21054162231
1.18,30,21366156086
1.19,30,21677823429
1.21,30,21988942127
1.23,30,22299560200
1.24,30,22624496345
1.25,30,22932891450
1.28,30,23240720824
1.29,30,23550192647
1.3,30,23858932230
1.32,30,24165955668
1.3499999999999999,30,24484752647
1.3599999999999999,30,24789289626
1.3699999999999999,30,25104574626
1.39,30,25422656501
1.5,30,25723146240
1.42,30,26039353011
1.44,30,26344027490
1.45,30,26648538688
1.47,30,26949837906
1.48,30,27252104469
1.5,30,27554031708
1.52,30,27855295041
1.53,30,28156505927
1.54,30,28458107750
1.63,30,28756829051
1.58,30,29057155562
1.5999999999999999,30,29357118895
1.6099999999999999,30,29656626187
1.63,30,29955628634
1.64,30,30254304207
1.66,30,30551420874
1.67,30,30848106030
1.69,30,31144430613
1.7,30,31441643113
1.71,30,31738644207
1.74,30,32036541394
1.75,30,32333629050
1.76,30,32630251185
1.78,30,32926838581
1.8,30,33222546862
1.81,30,33515554779
1.83,30,33807267695
1.84,30,34100172852
1.8599999999999999,30,34392742435
1.8699999999999999,30,34686855820
1.89,30,34995905455
1.91,30,35285467955
1.91,30,35574666653
1.93,30,35885542330
1.95,30,36175855767
1.97,30,36462606601
1.98,30,36750077955
2.0,30,37037988736
2.04,30,37327295194
2.02,30,37612787642
2.04,30,37897296496
2.06,30,38182726287
2.07,30,38469164725
2.08,30,38755029829
2.1,30,39038694829
2.11,30,39321979829
2.13,30,39607234308
2.14,30,39892394203
2.16,30,40177946130
2.1799999999999997,30,40462561287
2.1799999999999997,30,40745644828
2.21,30,41029427224
2.2199999999999998,30,41313603630
2.23,30,41595322536
2.25,30,41876717849
2.26,30,42158952276
2.2800000000000002,30,42440504098
2.29,30,42721711963
2.3,30,43001518473
2.32,30,43280216702
2.33,30,43558628369
2.35,30,43836139671
2.37,30,44113667483
2.38,30,44390564983
2.4,30,44667037327
2.41,30,44943305556
2.5,30,45234568993
