position,vitesse,temps
0.06999999999999984,50,141997084
0.33000000000000007,50,476341354
0.1299999999999999,50,816382188
0.16999999999999993,50,1155691354
0.20999999999999996,50,1493619844
0.25,50,1830358906
0.48999999999999977,50,2162353333
0.31999999999999984,50,2497084531
0.3599999999999999,50,2830604218
0.3900000000000001,50,3164625833
0.43000000000000016,50,3496341249
0.45999999999999996,50,3826801197
0.5,50,4156226457
0.5299999999999998,50,4485971509
0.5800000000000001,50,4815750519
0.6099999999999999,50,5141965363
0.6499999999999999,50,5467163905
0.6800000000000002,50,5792645363
0.7199999999999998,50,6118061821
0.73,50,6442263904
0.7799999999999998,50,6763358123
0.8199999999999998,50,7084858644
0.8599999999999999,50,7403926612
0.8900000000000001,50,7722284685
0.9199999999999999,50,8040722341
0.96,50,8356818799
1.0,50,8671805206
1.03,50,8986222549
1.07,50,9299080726
1.0999999999999999,50,9611085361
1.13,50,9923512861
1.17,50,10235253174
1.2,50,10545604319
1.24,50,10854933069
1.27,50,11163326871
1.3,50,11470649632
1.33,50,11777149527
1.3699999999999999,50,12095052131
1.4,50,12399489840
1.44,50,12702996298
1.47,50,13005555152
1.5,50,13307389995
1.53,50,13609380204
1.57,50,13910285672
1.5999999999999999,50,14210770516
1.64,50,14511204943
1.67,50,14810527495
1.7,50,15109011818
1.73,50,15406402130
1.77,50,15702812703
1.8,50,15997184265
1.83,50,16290380463
1.8699999999999999,50,16582784786
1.9,50,16875589577
1.93,50,17167410202
1.96,50,17458435098
1.99,50,17748652546
2.02,50,18038295619
2.05,50,18323486452
2.09,50,18608187025
2.12,50,18893076556
2.15,50,19193357233
2.1799999999999997,50,19474864524
2.2,50,19755763378
2.24,50,20036986764
2.2800000000000002,50,20318735878
2.31,50,20600413586
2.34,50,20879019211
2.36,50,21158164784
2.39,50,21436385461
2.4299999999999997,50,21728907023
2.46,50,22002181555
2.48,50,22274872700
2.52,50,22566892752
