timestamp,position_x,position_y,angle,speed,acceleration,steering_angle
2996.699376147,0,0,0,0,0,0
2996.707567762,5.0159175449299864e-20,0.000819161500021437,1.5707963267948966,0.1,0.1,0
2996.715615262,9.943590102983913e-20,0.0016239115000189486,1.5707963267948966,0.1,0.0,0
2996.723597918,1.4831557162511154e-19,0.0024221771000156878,1.5707963267948966,0.1,0.0,0
2996.731786251,1.9845465061855706e-19,0.0032410104000064168,1.5707963267948966,0.1,0.0,0
2996.73953323,2.4589121579485577e-19,0.004015708299994003,1.5707963267948966,0.1,0.0,0
2996.74700297,2.916301817023738e-19,0.004762682299997323,1.5707963267948966,0.1,0.0,0
2996.754980522,3.4047859931327094e-19,0.005560437500025728,1.5707963267948966,0.1,0.0,0
2996.762739793,3.8799043128224276e-19,0.006336364600019806,1.5707963267948966,0.1,0.0,0
2996.770543178,4.357723835959937e-19,0.00711670310001864,1.5707963267948966,0.1,0.0,0
2996.778303803,4.832925064252214e-19,0.007892765600036001,1.5707963267948966,0.1,0.0,0
2996.786101668,5.310406584855634e-19,0.008672552100006215,1.5707963267948966,0.1,0.0,0
2996.793900314,5.787935927939879e-19,0.00945241670001451,1.5707963267948966,0.1,0.0,0
2996.801740678,6.268019761777589e-19,0.010236453100014841,1.5707963267948966,0.1,0.0,0
2996.809462657,6.740854605052468e-19,0.011008651000020108,1.5707963267948966,0.1,0.0,0
2996.817282397,7.219675583100386e-19,0.011790625000003274,1.5707963267948966,0.1,0.0,0
2996.824890053,7.685510161592264e-19,0.012551390600037848,1.5707963267948966,0.1,0.0,0
2996.832345626,8.142032342092271e-19,0.013296947900016676,1.5707963267948966,0.1,0.0,0
2996.839921824,8.605940673621886e-19,0.014054567700031839,1.5707963267948966,0.1,0.0,0
2996.847396564,9.063636494389119e-19,0.014802041700022528,1.5707963267948966,0.1,0.0,0
2996.855044897,9.531961820746543e-19,0.01556687500001317,1.5707963267948966,0.1,0.0,0
2996.862587553,9.993816297130358e-19,0.016321140600030048,1.5707963267948966,0.1,0.0,0
2996.869994116,1.044733748064222e-18,0.017061796899997716,1.5707963267948966,0.1,0.0,0
2996.877592553,1.0912607558175127e-18,0.017821640600004685,1.5707963267948966,0.1,0.0,0
2996.885057449,1.136970060781365e-18,0.018568130200037558,1.5707963267948966,0.1,0.0,0
2996.89247948,1.182416893316786e-18,0.0193103333000181,1.5707963267948966,0.1,0.0,0
2996.900068282,1.228884903710715e-18,0.020069213500028125,1.5707963267948966,0.1,0.0,0
2996.907629637,1.2751848496992005e-18,0.0208253490000061,1.5707963267948966,0.1,0.0,0
2996.915069168,1.3207388388324088e-18,0.021569302100033383,1.5707963267948966,0.1,0.0,0
2996.922633543,1.3670572769869159e-18,0.022325739600000817,1.5707963267948966,0.1,0.0,0
2996.930034689,1.412376225782263e-18,0.023065854200012836,1.5707963267948966,0.1,0.0,0
2996.937488959,1.4580204652592083e-18,0.023811281200005398,1.5707963267948966,0.1,0.0,0
2996.944977709,1.5038758338447402e-18,0.024560156200004714,1.5707963267948966,0.1,0.0,0
2996.952430314,1.5495098781390887e-18,0.025305416700030038,1.5707963267948966,0.1,0.0,0
2996.96011323,1.5965541705754185e-18,0.02607370830000946,1.5707963267948966,0.1,0.0,0
2996.967573803,1.642237004797409e-18,0.02681976560002113,1.5707963267948966,0.1,0.0,0
2996.974957293,1.6874478417722137e-18,0.02755811460001496,1.5707963267948966,0.1,0.0,0
2996.982508126,1.7336833590945308e-18,0.028313197900024532,1.5707963267948966,0.1,0.0,0
2996.989941459,1.7791993964210328e-18,0.029056531200012614,1.5707963267948966,0.1,0.0,0
2996.997399012,1.8248637384770015e-18,0.029802286500034823,1.5707963267948966,0.1,0.0,0
2997.005027032,1.87157188985889e-18,0.030565088499997728,1.5707963267948966,0.1,0.0,0
2997.012482084,1.9172209177070868e-18,0.03131059370002731,1.5707963267948966,0.1,0.0,0
2997.020059949,1.9636219582889832e-18,0.032068380200007594,1.5707963267948966,0.1,0.0,0
2997.027536616,2.009403339838136e-18,0.032816046900006765,1.5707963267948966,0.1,0.0,0
2997.034924897,2.0546435132286367e-18,0.033554875000027094,1.5707963267948966,0.1,0.0,0
2997.042479376,2.1009013558599033e-18,0.03431032290000075,1.5707963267948966,0.1,0.0,0
2997.049911928,2.1464126109411076e-18,0.03505357809999623,1.5707963267948966,0.1,0.0,0
2997.057496199,2.1928528769628348e-18,0.035812005200023124,1.5707963267948966,0.1,0.0,0
2997.065078855,2.2392832539604274e-18,0.036570270800029905,1.5707963267948966,0.1,0.0,0
2997.072511459,2.2847948274492164e-18,0.03731353120001586,1.5707963267948966,0.1,0.0,0
2997.079941303,2.3302895008126935e-18,0.03805651560001025,1.5707963267948966,0.1,0.0,0
2997.087525991,2.3767323202210546e-18,0.03881498440000542,1.5707963267948966,0.1,0.0,0
2997.09491573,2.4219814212869813e-18,0.039553958300029994,1.5707963267948966,0.1,0.0,0
2997.102457762,2.468163048025989e-18,0.040308161500024656,1.5707963267948966,0.1,0.0,0
2997.110048595,2.5146434947075176e-18,0.04106724480002413,1.5707963267948966,0.1,0.0,0
2997.117466824,2.5600670467084495e-18,0.04180906770002367,1.5707963267948966,0.1,0.0,0
2997.125015314,2.6062882172920882e-18,0.042563916700009946,1.5707963267948966,0.1,0.0,0
2997.132478074,2.6519844430272175e-18,0.04331019270002799,1.5707963267948966,0.1,0.0,0
2997.141094116,2.7047424843108346e-18,0.0441717969000365,1.5707963267948966,0.1,0.0,0
2997.151404636,2.767876210886236e-18,0.04520284889999858,1.5707963267948966,0.1,0.0,0
